n,seconds
1,0.0000052020
2,0.0000025290
3,0.0000031510
4,0.0000028330
5,0.0000033890
6,0.0000041940
7,0.0000069430
8,0.0000054620
9,0.0000076600
10,0.0000116120
11,0.0000114310
12,0.0000090740
13,0.0000129860
14,0.0000115090
15,0.0000124500
16,0.0000149580
17,0.0000139500
18,0.0000151900
19,0.0000179440
20,0.0000171160
21,0.0000188220
22,0.0000442000
23,0.0000215540
24,0.0000227630
25,0.0000295060
26,0.0000366280
27,0.0000277120
28,0.0000282910
29,0.0000424250
30,0.0000672530
31,0.0000338560
32,0.0000680670
33,0.0000367870
34,0.0000382000
35,0.0001215980
36,0.0000420850
37,0.0000432120
38,0.0012645270
39,0.0000502450
40,0.0000489470
41,0.0000524940
42,0.0000533200
43,0.0000565240
44,0.0000572530
45,0.0000598540
46,0.0000898270
47,0.0000647860
48,0.0000660230
49,0.0000862900
50,0.0001072920
51,0.0001260260
52,0.0001046900
53,0.0000785300
54,0.0000826040
55,0.0000845270
56,0.0001035440
57,0.0000901590
58,0.0000920830
59,0.0001148970
60,0.0000977140
61,0.0001277900
62,0.0001025550
63,0.0001442040
64,0.0001100290
65,0.0001150670
66,0.0001173730
67,0.0001194550
68,0.0001243900
69,0.0001760600
70,0.0001856220
71,0.0001320150
72,0.0002304370
73,0.0001430030
74,0.0002280180
75,0.0001490660
76,0.0001892790
77,0.0001575770
78,0.0002173910
79,0.0001647600
80,0.0003202050
81,0.0001714860
82,0.0001777840
83,0.0001797370
84,0.0002811320
85,0.0001863700
86,0.0002379600
87,0.0002106360
88,0.0002001320
89,0.0002860400
90,0.0002088120
91,0.0002556710
92,0.0002181070
93,0.0002233290
94,0.0002259170
95,0.0002328640
96,0.0002832720
97,0.0002401950
98,0.0002537740
99,0.0002630460
100,0.0003509080
101,0.0002577360
102,0.0002675470
103,0.0002778520
104,0.0002727700
105,0.0002784570
106,0.0002819280
107,0.0002893320
108,0.0003936620
109,0.0003810120
110,0.0003031050
111,0.0003905170
112,0.0003162730
113,0.0003744970
114,0.0004230940
115,0.0004441170
116,0.0005315860
117,0.0003804300
118,0.0004213560
119,0.0004014720
120,0.0003734980
121,0.0004245720
122,0.0004267750
123,0.0003771570
124,0.0003947060
125,0.0004104430
126,0.0003896590
127,0.0004444730
128,0.0003993650
129,0.0004813850
130,0.0004226500
131,0.0004358430
132,0.0004615110
133,0.0004906500
134,0.0004997770
135,0.0004439850
136,0.0007954530
137,0.0004971500
138,0.0004640640
139,0.0004680050
140,0.0006092700
141,0.0007441690
142,0.0006751080
143,0.0006714540
144,0.0006779330
145,0.0007112290
146,0.0007413580
147,0.0007130110
148,0.0007346020
149,0.0007268430
150,0.0007853540
151,0.0008180690
152,0.0009683120
153,0.0007802480
154,0.0007746220
155,0.0008350420
156,0.0007978000
157,0.0008095580
158,0.0008669020
159,0.0009350770
160,0.0009112350
161,0.0008472400
162,0.0008539950
163,0.0009227270
164,0.0009014920
165,0.0011655210
166,0.0009026140
167,0.0009492980
168,0.0009136790
169,0.0009215600
170,0.0009719950
171,0.0009562120
172,0.0009712810
173,0.0010035300
174,0.0156591890
175,0.0009806930
176,0.0009951980
177,0.0100500740
178,0.0011058250
179,0.0010426010
180,0.0010400210
181,0.0062149890
182,0.0010634830
183,0.0011234020
184,0.0010771420
185,0.0010881670
186,0.0045507430
187,0.0011367260
188,0.0011360700
189,0.0011437410
190,0.0011488420
191,0.0011866280
192,0.0012114900
193,0.0012093540
194,0.0011857260
195,0.0012852050
196,0.0013243010
197,0.0012333420
198,0.0012484320
199,0.0013859570
200,0.0013419610
201,0.0012990190
202,0.0012991340
203,0.0013464850
204,0.0013284230
205,0.0014293660
206,0.0013294660
207,0.0013952690
208,0.0013816810
209,0.0014017860
210,0.0014540210
211,0.0014742260
212,0.0014778800
213,0.0014262850
214,0.0015511510
215,0.0015643090
216,0.0015644320
217,0.0014775010
218,0.0015993840
219,0.0014979480
220,0.0015879570
221,0.0016335390
222,0.0017436000
223,0.0016494410
224,0.0016482700
225,0.0015888810
226,0.0017150200
227,0.0015969970
228,0.0016453100
229,0.0016306300
230,0.0017004670
231,0.0016608160
232,0.0018224720
233,0.0016959370
234,0.0017205430
235,0.0015393010
236,0.0013494590
237,0.0012765200
238,0.0013118140
239,0.0013094330
240,0.0013293620
241,0.0015413060
242,0.0013787440
243,0.0013601710
244,0.0014083100
245,0.0015403770
246,0.0013740040
247,0.0014459110
248,0.0014276860
249,0.0014883980
250,0.0015252790
251,0.0014772820
252,0.0014513490
253,0.0014776990
254,0.0014862730
255,0.0014495530
